# run_id=ec1c665e-b586-4c4a-9a2a-57022eafd668
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:35:03.309Z
# duration_ms=65020
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=25
# beats_synthetic=108
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
16365,lighting.e2e_ms,24.000
16365,lighting.frame,57.000
16365,lighting.e2e_ms,24.000
16365,lighting.frame,58.000
16365,lighting.e2e_ms,24.000
16365,lighting.frame,59.000
16365,lighting.e2e_ms,24.000
16365,lighting.frame,60.000
16365,lighting.e2e_ms,24.000
16537,beat.e2e_ms,25.000
16537,server.dwell_ms,3.401
16938,network.rtt_ms,85.000
17132,beat.e2e_ms,108.000
17132,server.dwell_ms,99.321
17739,beat.e2e_ms,241.000
17739,server.dwell_ms,3.477
18154,beat.e2e_ms,192.000
18154,server.dwell_ms,2.126
18538,beat.e2e_ms,106.000
18538,server.dwell_ms,3.141
19201,beat.e2e_ms,257.000
19201,server.dwell_ms,247.921
19546,beat.e2e_ms,45.000
19546,server.dwell_ms,2.234
19999,beat.e2e_ms,31.000
19999,server.dwell_ms,6.839
20566,beat.e2e_ms,84.000
20566,server.dwell_ms,3.266
21119,beat.e2e_ms,170.000
21119,server.dwell_ms,1.728
21467,beat.e2e_ms,6.000
21467,server.dwell_ms,2.227
21855,network.rtt_ms,2.000
21894,beat.e2e_ms,6.000
21894,server.dwell_ms,2.244
22487,beat.e2e_ms,130.000
22487,server.dwell_ms,119.604
22921,beat.e2e_ms,9.000
22921,server.dwell_ms,2.221
23394,beat.e2e_ms,11.000
23394,server.dwell_ms,2.208
23961,beat.e2e_ms,25.000
23961,server.dwell_ms,2.157
24373,beat.e2e_ms,7.000
24373,server.dwell_ms,2.193
24859,beat.e2e_ms,155.000
24859,server.dwell_ms,147.101
25180,beat.e2e_ms,50.000
25180,server.dwell_ms,39.761
25717,beat.e2e_ms,158.000
25717,server.dwell_ms,154.177
26042,beat.e2e_ms,58.000
26042,server.dwell_ms,52.185
26081,lighting.frame,61.000
26081,lighting.e2e_ms,12.000
26081,server.dwell_ms,4.534
26082,lighting.frame,62.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,63.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,64.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,65.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,66.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,67.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,68.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,69.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,70.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,71.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,72.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,73.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,74.000
26082,lighting.e2e_ms,13.000
26082,lighting.frame,75.000
26082,lighting.e2e_ms,13.000
26083,lighting.frame,76.000
26083,lighting.e2e_ms,14.000
26083,lighting.frame,77.000
26083,lighting.e2e_ms,14.000
26083,lighting.frame,78.000
26083,lighting.e2e_ms,14.000
26083,lighting.frame,79.000
26083,lighting.e2e_ms,14.000
26083,lighting.frame,80.000
26083,lighting.e2e_ms,14.000
26083,lighting.frame,81.000
26083,lighting.e2e_ms,14.000
26083,lighting.frame,82.000
26083,lighting.e2e_ms,14.000
26873,beat.e2e_ms,249.000
26873,server.dwell_ms,188.380
26896,network.rtt_ms,42.000
27287,beat.e2e_ms,194.000
27287,server.dwell_ms,4.323
27796,beat.e2e_ms,233.000
27796,server.dwell_ms,2.953
28142,beat.e2e_ms,153.000
28142,server.dwell_ms,2.444
28566,beat.e2e_ms,150.000
28566,server.dwell_ms,2.905
29203,beat.e2e_ms,232.000
29203,server.dwell_ms,156.095
29434,beat.e2e_ms,78.000
29434,server.dwell_ms,4.087
29899,beat.e2e_ms,288.000
29899,server.dwell_ms,174.335
30091,beat.e2e_ms,182.000
30091,server.dwell_ms,2.103
30596,beat.e2e_ms,345.000
30596,server.dwell_ms,224.242
30806,beat.e2e_ms,171.000
30806,server.dwell_ms,3.198
31327,beat.e2e_ms,436.000
31327,server.dwell_ms,141.047
31378,beat.e2e_ms,146.000
31378,server.dwell_ms,1.728
31596,beat.e2e_ms,19.000
31596,server.dwell_ms,2.043
31868,network.rtt_ms,15.000
31921,beat.e2e_ms,6.000
31921,server.dwell_ms,2.121
32262,beat.e2e_ms,6.000
