# run_id=b4e44830-5763-499a-ade4-1d84c1783383
# config_label=Windows-CUDA-LAN-run3
# started_at=2026-06-04T12:40:40.165Z
# duration_ms=65024
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=23
# beats_synthetic=95
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
21578,beat.e2e_ms,74.000
21578,server.dwell_ms,67.930
22482,beat.e2e_ms,125.000
22482,server.dwell_ms,116.626
22563,network.rtt_ms,3.000
22887,beat.e2e_ms,103.000
22887,server.dwell_ms,96.398
23602,beat.e2e_ms,8.000
23602,server.dwell_ms,1.742
24397,beat.e2e_ms,118.000
24397,server.dwell_ms,110.338
24595,beat.e2e_ms,103.000
24595,server.dwell_ms,94.713
24823,beat.e2e_ms,34.000
24823,server.dwell_ms,1.773
25103,lighting.frame,61.000
25103,lighting.e2e_ms,15.000
25103,server.dwell_ms,6.358
25103,lighting.frame,62.000
25103,lighting.e2e_ms,15.000
25104,lighting.frame,63.000
25104,lighting.e2e_ms,16.000
25104,lighting.frame,64.000
25104,lighting.e2e_ms,16.000
25105,lighting.frame,65.000
25105,lighting.e2e_ms,17.000
25105,lighting.frame,66.000
25105,lighting.e2e_ms,17.000
25106,lighting.frame,67.000
25106,lighting.e2e_ms,18.000
25106,lighting.frame,68.000
25106,lighting.e2e_ms,18.000
25106,lighting.frame,69.000
25106,lighting.e2e_ms,18.000
25106,lighting.frame,70.000
25106,lighting.e2e_ms,18.000
25106,lighting.frame,71.000
25106,lighting.e2e_ms,18.000
25107,lighting.frame,72.000
25107,lighting.e2e_ms,19.000
25113,lighting.frame,73.000
25113,lighting.e2e_ms,25.000
25113,lighting.frame,74.000
25113,lighting.e2e_ms,25.000
25113,lighting.frame,75.000
25113,lighting.e2e_ms,25.000
25113,lighting.frame,76.000
25113,lighting.e2e_ms,25.000
25113,lighting.frame,77.000
25113,lighting.e2e_ms,25.000
25114,lighting.frame,78.000
25114,lighting.e2e_ms,26.000
25114,lighting.frame,79.000
25114,lighting.e2e_ms,26.000
25114,lighting.frame,80.000
25114,lighting.e2e_ms,26.000
25114,lighting.frame,81.000
25114,lighting.e2e_ms,26.000
25114,lighting.frame,82.000
25114,lighting.e2e_ms,26.000
25312,beat.e2e_ms,139.000
25312,server.dwell_ms,2.988
25563,beat.e2e_ms,45.000
25563,server.dwell_ms,3.342
25910,beat.e2e_ms,54.000
25910,server.dwell_ms,1.763
26509,beat.e2e_ms,312.000
26509,server.dwell_ms,249.460
26684,beat.e2e_ms,143.000
26684,server.dwell_ms,1.357
27052,beat.e2e_ms,172.000
27052,server.dwell_ms,6.235
27377,beat.e2e_ms,156.000
27377,server.dwell_ms,2.213
27804,network.rtt_ms,242.000
27805,beat.e2e_ms,243.000
27805,server.dwell_ms,3.074
28303,beat.e2e_ms,399.000
28303,server.dwell_ms,273.893
28460,beat.e2e_ms,215.000
28460,server.dwell_ms,3.354
28777,beat.e2e_ms,63.000
28777,server.dwell_ms,1.930
29317,beat.e2e_ms,347.000
29317,server.dwell_ms,250.870
29581,beat.e2e_ms,269.000
29581,server.dwell_ms,2.149
29828,beat.e2e_ms,303.000
29828,server.dwell_ms,1.908
30218,beat.e2e_ms,352.000
30218,server.dwell_ms,1.422
30432,beat.e2e_ms,180.000
30432,server.dwell_ms,75.568
30440,beat.e2e_ms,62.000
30440,server.dwell_ms,2.315
30614,beat.e2e_ms,22.000
30614,server.dwell_ms,2.149
31053,beat.e2e_ms,162.000
31053,server.dwell_ms,154.990
31201,beat.e2e_ms,12.000
31201,server.dwell_ms,2.150
31588,beat.e2e_ms,58.000
31588,server.dwell_ms,53.674
31845,beat.e2e_ms,101.000
31845,server.dwell_ms,96.339
32052,beat.e2e_ms,10.000
32052,server.dwell_ms,1.916
32491,beat.e2e_ms,107.000
32491,server.dwell_ms,103.958
32565,network.rtt_ms,2.000
32777,beat.e2e_ms,9.000
32777,server.dwell_ms,2.444
33136,beat.e2e_ms,112.000
33136,server.dwell_ms,103.212
33535,beat.e2e_ms,85.000
33535,server.dwell_ms,79.803
33846,beat.e2e_ms,12.000
33846,server.dwell_ms,2.551
34271,beat.e2e_ms,7.000
34271,server.dwell_ms,2.370
34787,beat.e2e_ms,57.000
34787,server.dwell_ms,51.595
35238,beat.e2e_ms,38.000
35238,server.dwell_ms,1.817
35678,beat.e2e_ms,9.000
35678,server.dwell_ms,2.379
35978,lighting.frame,83.000
35978,lighting.e2e_ms,9.000
35978,server.dwell_ms,2.798
35979,lighting.frame,84.000
35979,lighting.e2e_ms,10.000
35980,lighting.frame,85.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,86.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,87.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,88.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,89.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,90.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,91.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,92.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,93.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,94.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,95.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,96.000
35980,lighting.e2e_ms,11.000
35980,lighting.frame,97.000
35980,lighting.e2e_ms,11.000
35981,lighting.frame,98.000
35981,lighting.e2e_ms,12.000
35981,lighting.frame,99.000
35981,lighting.e2e_ms,12.000
35981,lighting.frame,100.000
35981,lighting.e2e_ms,12.000
35981,lighting.frame,101.000
35981,lighting.e2e_ms,12.000
35981,lighting.frame,102.000
35981,lighting.e2e_ms,12.000
35981,lighting.frame,103.000
35981,lighting.e2e_ms,12.000
36186,beat.e2e_ms,45.000
36186,server.dwell_ms,6.999
36745,beat.e2e_ms,95.000
36745,server.dwell_ms,89.110
37278,beat.e2e_ms,201.000
37278,server.dwell_ms,194.133
37614,beat.e2e_ms,68.000
37614,server.dwell_ms,7.439
37614,network.rtt_ms,53.000
38143,beat.e2e_ms,127.000
38143,server.dwell_ms,1.584
38504,beat.e2e_ms,19.000
38504,server.dwell_ms,4.907
39044,beat.e2e_ms,89.000
39044,server.dwell_ms,2.010
39688,beat.e2e_ms,264.000
39688,server.dwell_ms,122.490
40118,beat.e2e_ms,224.000
40118,server.dwell_ms,2.148
40437,beat.e2e_ms,74.000
40437,server.dwell_ms,2.586
40981,beat.e2e_ms,149.000
40981,server.dwell_ms,4.100
41314,beat.e2e_ms,13.000
41314,server.dwell_ms,1.996
41853,beat.e2e_ms,83.000
41853,server.dwell_ms,77.500
42251,beat.e2e_ms,10.000
42251,server.dwell_ms,2.408
42562,network.rtt_ms,1.000
42715,beat.e2e_ms,6.000
42715,server.dwell_ms,2.457
43185,beat.e2e_ms,6.000
43186,server.dwell_ms,2.389
43657,beat.e2e_ms,9.000
43657,server.dwell_ms,2.618
44221,beat.e2e_ms,104.000
44221,server.dwell_ms,98.729
44598,beat.e2e_ms,9.000
44598,server.dwell_ms,2.356
45064,beat.e2e_ms,8.000
45064,server.dwell_ms,2.191
45531,beat.e2e_ms,6.000
45531,server.dwell_ms,2.641
46002,beat.e2e_ms,8.000
46002,server.dwell_ms,2.532
46345,lighting.frame,104.000
46345,lighting.e2e_ms,94.000
46345,server.dwell_ms,87.165
46346,lighting.frame,105.000
46346,lighting.e2e_ms,95.000
46346,lighting.frame,106.000
46346,lighting.e2e_ms,95.000
46346,lighting.frame,107.000
46346,lighting.e2e_ms,95.000
46346,lighting.frame,108.000
46346,lighting.e2e_ms,95.000
46347,lighting.frame,109.000
46347,lighting.e2e_ms,96.000
46347,lighting.frame,110.000
46347,lighting.e2e_ms,96.000
46348,lighting.frame,111.000
46348,lighting.e2e_ms,97.000
46348,lighting.frame,112.000
46348,lighting.e2e_ms,97.000
46348,lighting.frame,113.000
46348,lighting.e2e_ms,97.000
46348,lighting.frame,114.000
46348,lighting.e2e_ms,97.000
46348,lighting.frame,115.000
46348,lighting.e2e_ms,97.000
46349,lighting.frame,116.000
46349,lighting.e2e_ms,98.000
46349,lighting.frame,117.000
46349,lighting.e2e_ms,98.000
46354,lighting.frame,118.000
46354,lighting.e2e_ms,103.000
46355,lighting.frame,119.000
46355,lighting.e2e_ms,104.000
46355,lighting.frame,120.000
46355,lighting.e2e_ms,104.000
46355,lighting.frame,121.000
46355,lighting.e2e_ms,104.000
46355,lighting.frame,122.000
46355,lighting.e2e_ms,104.000
46355,lighting.frame,123.000
46355,lighting.e2e_ms,104.000
46355,lighting.frame,124.000
46355,lighting.e2e_ms,104.000
46355,lighting.frame,125.000
46355,lighting.e2e_ms,104.000
46636,beat.e2e_ms,172.000
46636,server.dwell_ms,159.102
46942,beat.e2e_ms,9.000
46942,server.dwell_ms,2.053
47501,beat.e2e_ms,97.000
47501,server.dwell_ms,2.175
47871,network.rtt_ms,311.000
48087,beat.e2e_ms,215.000
48087,server.dwell_ms,2.616
48456,beat.e2e_ms,115.000
48456,server.dwell_ms,2.379
49007,beat.e2e_ms,196.000
49007,server.dwell_ms,191.475
49515,beat.e2e_ms,235.000
49515,server.dwell_ms,2.971
49908,beat.e2e_ms,115.000
49908,server.dwell_ms,2.484
50352,beat.e2e_ms,91.000
50352,server.dwell_ms,3.614
50974,beat.e2e_ms,243.000
50974,server.dwell_ms,211.051
51442,beat.e2e_ms,242.000
51442,server.dwell_ms,2.302
51677,beat.e2e_ms,8.000
51677,server.dwell_ms,2.314
52103,beat.e2e_ms,7.000
52103,server.dwell_ms,2.512
52570,network.rtt_ms,5.000
52616,beat.e2e_ms,8.000
52616,server.dwell_ms,2.629
53417,beat.e2e_ms,126.000
53417,server.dwell_ms,121.861
54311,beat.e2e_ms,82.000
54311,server.dwell_ms,2.278
55178,beat.e2e_ms,7.000
55178,server.dwell_ms,2.660
56157,beat.e2e_ms,50.000
56157,server.dwell_ms,1.981
57054,beat.e2e_ms,9.000
57054,server.dwell_ms,2.853
57754,network.rtt_ms,193.000
57908,lighting.frame,126.000
57908,lighting.e2e_ms,9.000
57908,server.dwell_ms,2.780
57909,lighting.frame,127.000
57909,lighting.e2e_ms,10.000
57910,lighting.frame,128.000
57910,lighting.e2e_ms,11.000
57910,lighting.frame,129.000
57910,lighting.e2e_ms,11.000
57910,lighting.frame,130.000
57910,lighting.e2e_ms,11.000
57910,lighting.frame,131.000
57910,lighting.e2e_ms,11.000
57910,lighting.frame,132.000
57910,lighting.e2e_ms,11.000
57910,lighting.frame,133.000
57910,lighting.e2e_ms,11.000
57911,lighting.frame,134.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,135.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,136.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,137.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,138.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,139.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,140.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,141.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,142.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,143.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,144.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,145.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,146.000
57911,lighting.e2e_ms,12.000
57911,lighting.frame,147.000
57911,lighting.e2e_ms,12.000
58227,beat.e2e_ms,242.000
58227,server.dwell_ms,236.764
59088,beat.e2e_ms,251.000
59088,server.dwell_ms,234.697
59734,beat.e2e_ms,342.000
59734,server.dwell_ms,3.159
60486,beat.e2e_ms,578.000
60486,server.dwell_ms,291.964
60534,beat.e2e_ms,246.000
60534,server.dwell_ms,2.455
61110,beat.e2e_ms,395.000
61110,server.dwell_ms,6.232
61663,beat.e2e_ms,564.000
61663,server.dwell_ms,8.196
62191,beat.e2e_ms,708.000
62191,server.dwell_ms,2.829
62662,beat.e2e_ms,795.000
62662,server.dwell_ms,1.805
63181,beat.e2e_ms,845.000
63181,server.dwell_ms,2.236
63276,network.rtt_ms,715.000
63368,beat.e2e_ms,561.000
63368,server.dwell_ms,2.718
63610,beat.e2e_ms,335.000
63610,server.dwell_ms,2.649
63973,beat.e2e_ms,229.000
63973,server.dwell_ms,129.124
64332,beat.e2e_ms,76.000
64332,server.dwell_ms,2.849
64777,beat.e2e_ms,9.000
64777,server.dwell_ms,2.627
,server.beat.ingest_ms,1.534
,server.beat.ingest_ms,1.264
,server.beat.ingest_ms,1.034
,server.beat.ingest_ms,0.972
,server.beat.ingest_ms,1.741
,server.beat.ingest_ms,1.760
,server.beat.ingest_ms,1.605
,server.beat.ingest_ms,1.544
