# run_id=2aab6143-3cfb-49a6-8bbf-87e50c98fdac
# config_label=Windows-CUDA-LAN-run2
# started_at=2026-06-04T12:38:58.140Z
# duration_ms=65020
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=15
# beats_synthetic=134
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
35661,server.dwell_ms,2.333
36134,beat.e2e_ms,9.000
36134,server.dwell_ms,3.048
36599,beat.e2e_ms,7.000
36599,server.dwell_ms,2.182
37072,beat.e2e_ms,10.000
37072,server.dwell_ms,2.437
37654,beat.e2e_ms,123.000
37654,server.dwell_ms,114.005
38006,beat.e2e_ms,6.000
38006,server.dwell_ms,2.335
38477,beat.e2e_ms,7.000
38477,server.dwell_ms,2.537
38954,beat.e2e_ms,15.000
38954,server.dwell_ms,5.541
38954,lighting.frame,83.000
38954,lighting.e2e_ms,15.000
38955,lighting.frame,84.000
38955,lighting.e2e_ms,16.000
38955,lighting.frame,85.000
38955,lighting.e2e_ms,16.000
38956,lighting.frame,86.000
38956,lighting.e2e_ms,17.000
38957,lighting.frame,87.000
38957,lighting.e2e_ms,18.000
38959,lighting.frame,88.000
38959,lighting.e2e_ms,20.000
38959,lighting.frame,89.000
38959,lighting.e2e_ms,20.000
38959,lighting.frame,90.000
38959,lighting.e2e_ms,20.000
38959,lighting.frame,91.000
38959,lighting.e2e_ms,20.000
38960,lighting.frame,92.000
38960,lighting.e2e_ms,21.000
38960,lighting.frame,93.000
38960,lighting.e2e_ms,21.000
38961,lighting.frame,94.000
38961,lighting.e2e_ms,22.000
38961,lighting.frame,95.000
38961,lighting.e2e_ms,22.000
38962,lighting.frame,96.000
38962,lighting.e2e_ms,23.000
38962,lighting.frame,97.000
38962,lighting.e2e_ms,23.000
38962,lighting.frame,98.000
38962,lighting.e2e_ms,23.000
38962,lighting.frame,99.000
38962,lighting.e2e_ms,23.000
38963,lighting.frame,100.000
38963,lighting.e2e_ms,24.000
38968,lighting.frame,101.000
38968,lighting.e2e_ms,29.000
38968,lighting.frame,102.000
38968,lighting.e2e_ms,29.000
38968,lighting.frame,103.000
38968,lighting.e2e_ms,29.000
39424,beat.e2e_ms,16.000
39424,server.dwell_ms,8.759
40109,beat.e2e_ms,231.000
40109,server.dwell_ms,224.147
40359,network.rtt_ms,220.000
40454,beat.e2e_ms,146.000
40454,server.dwell_ms,80.597
40894,beat.e2e_ms,78.000
40894,server.dwell_ms,2.763
41441,beat.e2e_ms,154.000
41441,server.dwell_ms,2.517
41790,beat.e2e_ms,35.000
41790,server.dwell_ms,2.600
42501,beat.e2e_ms,277.000
42501,server.dwell_ms,247.600
42872,beat.e2e_ms,177.000
42872,server.dwell_ms,2.168
43303,beat.e2e_ms,137.000
43303,server.dwell_ms,2.547
43679,beat.e2e_ms,46.000
43679,server.dwell_ms,6.283
44109,beat.e2e_ms,6.000
44109,server.dwell_ms,2.691
44535,beat.e2e_ms,7.000
44535,server.dwell_ms,2.547
45049,beat.e2e_ms,9.000
45049,server.dwell_ms,2.336
45146,network.rtt_ms,6.000
45521,beat.e2e_ms,8.000
45521,server.dwell_ms,2.397
45986,beat.e2e_ms,7.000
45986,server.dwell_ms,2.563
46459,beat.e2e_ms,11.000
46459,server.dwell_ms,2.510
46998,beat.e2e_ms,78.000
46998,server.dwell_ms,71.616
47394,beat.e2e_ms,7.000
47394,server.dwell_ms,2.370
47863,beat.e2e_ms,6.000
47863,server.dwell_ms,1.947
48331,beat.e2e_ms,5.000
48331,server.dwell_ms,2.278
48802,beat.e2e_ms,7.000
48802,server.dwell_ms,2.588
49374,beat.e2e_ms,109.000
49374,server.dwell_ms,96.649
49513,lighting.frame,104.000
49513,lighting.e2e_ms,35.000
49513,server.dwell_ms,30.271
49513,lighting.frame,105.000
49513,lighting.e2e_ms,35.000
49514,lighting.frame,106.000
49514,lighting.e2e_ms,36.000
49514,lighting.frame,107.000
49514,lighting.e2e_ms,36.000
49514,lighting.frame,108.000
49514,lighting.e2e_ms,36.000
49515,lighting.frame,109.000
49515,lighting.e2e_ms,37.000
49515,lighting.frame,110.000
49515,lighting.e2e_ms,37.000
49519,lighting.frame,111.000
49519,lighting.e2e_ms,41.000
49519,lighting.frame,112.000
49519,lighting.e2e_ms,41.000
49520,lighting.frame,113.000
49520,lighting.e2e_ms,42.000
49520,lighting.frame,114.000
49520,lighting.e2e_ms,42.000
49520,lighting.frame,115.000
49520,lighting.e2e_ms,42.000
49520,lighting.frame,116.000
49520,lighting.e2e_ms,42.000
49520,lighting.frame,117.000
49520,lighting.e2e_ms,42.000
49520,lighting.frame,118.000
49520,lighting.e2e_ms,42.000
49520,lighting.frame,119.000
49520,lighting.e2e_ms,42.000
49521,lighting.frame,120.000
49521,lighting.e2e_ms,43.000
49521,lighting.frame,121.000
49521,lighting.e2e_ms,43.000
49522,lighting.frame,122.000
49522,lighting.e2e_ms,44.000
49522,lighting.frame,123.000
49522,lighting.e2e_ms,44.000
49523,lighting.frame,124.000
49523,lighting.e2e_ms,45.000
49525,lighting.frame,125.000
49525,lighting.e2e_ms,47.000
