# run_id=045aeef4-8786-4166-845f-7f82a576d92f
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:24:28.812Z
# duration_ms=65026
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=16
# beats_synthetic=110
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
17213,lighting.e2e_ms,20.000
17213,lighting.frame,55.000
17213,lighting.e2e_ms,20.000
17213,lighting.frame,56.000
17213,lighting.e2e_ms,20.000
17213,lighting.frame,57.000
17213,lighting.e2e_ms,20.000
17213,lighting.frame,58.000
17213,lighting.e2e_ms,20.000
17213,lighting.frame,59.000
17213,lighting.e2e_ms,20.000
17213,lighting.frame,60.000
17213,lighting.e2e_ms,20.000
17379,beat.e2e_ms,16.000
17379,server.dwell_ms,4.783
17878,beat.e2e_ms,46.000
17878,server.dwell_ms,0.684
18263,beat.e2e_ms,3.000
18263,server.dwell_ms,0.915
18744,beat.e2e_ms,16.000
18744,server.dwell_ms,2.471
19459,beat.e2e_ms,5.000
19459,server.dwell_ms,2.201
19932,beat.e2e_ms,5.000
19932,server.dwell_ms,1.018
20625,beat.e2e_ms,16.000
20625,server.dwell_ms,1.297
21086,beat.e2e_ms,7.000
21086,server.dwell_ms,1.075
21201,network.rtt_ms,83.000
21506,beat.e2e_ms,4.000
21506,server.dwell_ms,2.016
22016,beat.e2e_ms,45.000
22016,server.dwell_ms,35.682
22533,beat.e2e_ms,7.000
22533,server.dwell_ms,2.370
22997,beat.e2e_ms,2.000
22997,server.dwell_ms,0.833
23382,beat.e2e_ms,3.000
23382,server.dwell_ms,1.090
23808,beat.e2e_ms,3.000
23808,server.dwell_ms,0.919
24192,beat.e2e_ms,3.000
24192,server.dwell_ms,0.889
24665,beat.e2e_ms,3.000
24665,server.dwell_ms,1.193
25136,beat.e2e_ms,7.000
25136,server.dwell_ms,1.030
25986,beat.e2e_ms,3.000
25986,server.dwell_ms,0.898
26119,network.rtt_ms,1.000
26411,beat.e2e_ms,3.000
26411,server.dwell_ms,0.958
26755,beat.e2e_ms,5.000
26755,server.dwell_ms,1.006
27264,beat.e2e_ms,2.000
27264,server.dwell_ms,0.732
27691,beat.e2e_ms,3.000
27691,server.dwell_ms,1.285
27834,lighting.frame,61.000
27834,lighting.e2e_ms,18.000
27834,server.dwell_ms,4.588
27834,lighting.frame,62.000
27834,lighting.e2e_ms,18.000
27834,lighting.frame,63.000
